# Lecture du graphe construit par run.py — runs/20260926-034025
# plage 2026-09-25 11:13 -> 13:23, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034025
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29838913  11:13:00                      7.000              -          3.867          3.850          0.017          3.000
29838914  11:14:00                      0.000         -7.000          3.483          3.517         -0.033          3.000
29838915  11:15:00                      0.000         -3.500          3.567          3.533          0.033          3.000
29838916  11:16:00                     40.000         20.000          3.550          2.833          0.717          3.000
29838917  11:17:00                     89.000         44.500          3.617          2.833          0.783          3.000
29838918  11:18:00                    132.000         46.000          3.600          2.833          0.767          2.000
29838919  11:19:00                    175.000         43.000          3.517          2.817          0.700          2.000
29838920  11:20:00                    207.000         37.500          3.367          2.817          0.550          2.000
29838921  11:21:00                    251.000         38.000          3.500          2.833          0.667          2.000
29838922  11:22:00                    289.000         41.000          3.500          2.833          0.667          2.000
29838923  11:23:00                    331.000         40.000          3.583          2.833          0.750          2.000
29838924  11:24:00                    365.000         38.000          3.350          2.833          0.517          2.000
29838925  11:25:00                    412.000         40.500          3.533          2.817          0.717          2.000
29838926  11:26:00                    457.000         46.000          3.633          2.817          0.817          2.000
29838927  11:27:00                    497.000         42.500          3.483          2.800          0.683          2.000
29838928  11:28:00                    532.000         37.500          3.333          2.833          0.500          2.000
29838929  11:29:00                    574.000         38.500          3.533          2.833          0.700          2.000
29838930  11:30:00                    613.000         40.500          3.533          2.833          0.700          2.000
29838931  11:31:00                    656.000         41.000          3.517          2.817          0.700          2.000
29838932  11:32:00                    687.000         37.000          3.383          2.833          0.550          2.000
29838933  11:33:00                    726.000         35.000          3.533          2.817          0.717          2.000
29838934  11:34:00                    774.000         43.500          3.567          2.833          0.733          2.000
29838935  11:35:00                    824.000         49.000          3.683          2.867          0.817          2.000
29838936  11:36:00                    800.000         13.000          3.633          4.250         -0.617          3.000
29838937  11:37:00                    756.000        -34.000          3.500          4.250         -0.750          3.000
29838938  11:38:00                    704.000        -48.000          3.433          4.217         -0.783          3.000
29838939  11:39:00                    654.000        -51.000          3.467          4.233         -0.767          3.000
29838940  11:40:00                    610.000        -47.000          3.483          4.250         -0.767          3.000
29838941  11:41:00                    566.000        -44.000          3.400          4.217         -0.817          3.000
29838942  11:42:00                    511.000        -49.500          3.350          4.250         -0.900          3.000
29838943  11:43:00                    460.000        -53.000          3.433          4.250         -0.817          3.000
29838944  11:44:00                    409.000        -51.000          3.333          4.250         -0.917          3.000
29838945  11:45:00                    365.000        -47.500          3.533          4.250         -0.717          3.000
29838946  11:46:00                    326.000        -41.500          3.600          4.250         -0.650          3.000
29838947  11:47:00                    270.000        -47.500          3.400          4.250         -0.850          3.000
29838948  11:48:00                    226.000        -50.000          3.450          4.233         -0.783          3.000
29838949  11:49:00                    180.000        -45.000          3.533          4.217         -0.683          3.000
29838950  11:50:00                    147.000        -39.500          3.650          4.250         -0.600          3.000
29838951  11:51:00                     88.000        -46.000          3.350          4.250         -0.900          3.000
29838952  11:52:00                     47.000        -50.000          3.433          4.250         -0.817          3.000
29838953  11:53:00                     12.000        -38.000          3.567          4.217         -0.650          3.000
29838954  11:54:00                      2.000        -22.500          3.450          3.450          0.000          3.000
29838955  11:55:00                      3.000         -4.500          3.633          3.617          0.017          3.000
29838956  11:56:00                      0.000         -1.000          3.333          3.383         -0.050          3.000
29838957  11:57:00                      5.000          1.000          3.533          3.500          0.033          3.000
29838958  11:58:00                      3.000          1.500          3.367          3.400         -0.033          3.000
29838959  11:59:00                      0.000         -2.500          3.450          3.433          0.017          3.000
29838960  12:00:00                      2.000         -0.500          3.733          3.700          0.033          3.000
29838961  12:01:00                     32.000         16.000          3.450          2.833          0.617          3.000
29838962  12:02:00                     77.000         37.500          3.517          2.833          0.683          3.000
29838963  12:03:00                    113.000         40.500          3.433          2.833          0.600          2.000
29838964  12:04:00                    141.000         32.000          3.200          2.833          0.367          2.000
29838965  12:05:00                    176.000         31.500          3.533          2.800          0.733          2.000
29838966  12:06:00                    232.000         45.500          3.700          2.833          0.867          2.000
29838967  12:07:00                    266.000         45.000          3.467          2.833          0.633          2.000
29838968  12:08:00                    307.000         37.500          3.467          2.800          0.667          2.000
29838969  12:09:00                    344.000         39.000          3.450          2.833          0.617          2.000
29838970  12:10:00                    384.000         38.500          3.533          2.833          0.700          2.000
29838971  12:11:00                    431.000         43.500          3.667          2.833          0.833          2.000
29838972  12:12:00                    486.000         51.000          3.617          2.833          0.783          2.000
29838973  12:13:00                    519.000         44.000          3.367          2.833          0.533          2.000
29838974  12:14:00                    567.000         40.500          3.633          2.833          0.800          2.000
29838975  12:15:00                    602.000         41.500          3.433          2.800          0.633          2.000
29838976  12:16:00                    641.000         37.000          3.433          2.833          0.600          2.000
29838977  12:17:00                    683.000         40.500          3.533          2.833          0.700          2.000
29838978  12:18:00                    724.000         41.500          3.667          2.833          0.833          2.000
29838979  12:19:00                    772.000         44.500          3.600          2.833          0.767          2.000
29838980  12:20:00                    827.000         51.500          3.633          2.867          0.767          2.000
29838981  12:21:00                    792.000         10.000          3.600          4.217         -0.617          3.000
29838982  12:22:00                    752.000        -37.500          3.500          4.250         -0.750          3.000
29838983  12:23:00                    699.000        -46.500          3.483          4.250         -0.767          3.000
29838984  12:24:00                    668.000        -42.000          3.600          4.233         -0.633          3.000
29838985  12:25:00                    620.000        -39.500          3.533          4.250         -0.717          3.000
29838986  12:26:00                    589.000        -39.500          3.617          4.217         -0.600          3.000
29838987  12:27:00                    540.000        -40.000          3.467          4.250         -0.783          3.000
29838988  12:28:00                    516.000        -36.500          3.800          4.250         -0.450          3.000
29838989  12:29:00                    469.000        -35.500          3.500          4.217         -0.717          3.000
29838990  12:30:00                    419.000        -48.500          3.217          4.233         -1.017          3.000
29838991  12:31:00                    361.000        -54.000          3.433          4.250         -0.817          3.000
29838992  12:32:00                    332.000        -43.500          3.767          4.250         -0.483          3.000
29838993  12:33:00                    280.000        -40.500          3.400          4.250         -0.850          3.000
29838994  12:34:00                    247.000        -42.500          3.650          4.250         -0.600          3.000
29838995  12:35:00                    207.000        -36.500          3.683          4.233         -0.550          3.000
29838996  12:36:00                    167.000        -40.000          3.550          4.233         -0.683          3.000
29838997  12:37:00                    135.000        -36.000          3.583          4.233         -0.650          3.000
29838998  12:38:00                     93.000        -37.000          3.567          4.233         -0.667          3.000
29838999  12:39:00                     50.000        -42.500          3.517          4.250         -0.733          3.000
29839000  12:40:00                      0.000        -46.500          3.467          4.133         -0.667          3.000
29839001  12:41:00                      1.000        -24.500          3.600          3.617         -0.017          3.000
29839002  12:42:00                      3.000          1.500          3.250          3.233          0.017          3.000
29839003  12:43:00                      1.000          0.000          3.583          3.633         -0.050          3.000
29839004  12:44:00                      0.000         -1.500          3.433          3.400          0.033          3.000
29839005  12:45:00                      1.000          0.000          3.500          3.483          0.017          3.000
29839006  12:46:00                     44.000         22.000          3.583          2.833          0.750          3.000
29839007  12:47:00                     93.000         46.000          3.683          2.833          0.850          3.000
29839008  12:48:00                    139.000         47.500          3.533          2.833          0.700          2.000
