# Lecture du graphe construit par run.py — runs/20260913-075006
# plage 2026-09-13 03:37 -> 05:47, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260913-075006
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29821177  03:37:00                      3.000              -          3.283          3.283          0.000          3.000
29821178  03:38:00                      1.000         -2.000          3.483          3.450          0.033          3.000
29821179  03:39:00                      2.000         -0.500          3.367          3.333          0.033          3.000
29821180  03:40:00                     42.000         20.500          5.000          4.250          0.750          3.000
29821181  03:41:00                     79.000         38.500          4.783          4.250          0.533          3.000
29821182  03:42:00                    105.000         31.500          4.583          4.250          0.333          3.000
29821183  03:43:00                    129.000         25.000          4.817          4.250          0.567          3.000
29821184  03:44:00                    170.000         32.500          4.900          4.250          0.650          3.000
29821185  03:45:00                    231.000         51.000          5.283          4.233          1.050          3.000
29821186  03:46:00                    278.000         54.000          4.967          4.233          0.733          3.000
29821187  03:47:00                    323.000         46.000          4.933          4.250          0.683          3.000
29821188  03:48:00                    357.000         39.500          5.067          4.250          0.817          3.000
29821189  03:49:00                    395.000         36.000          4.683          4.250          0.433          3.000
29821190  03:50:00                    438.000         40.500          4.900          4.233          0.667          3.000
29821191  03:51:00                    470.000         37.500          4.800          4.250          0.550          3.000
29821192  03:52:00                    489.000         25.500          4.683          4.250          0.433          3.000
29821193  03:53:00                    533.000         31.500          5.017          4.250          0.767          3.000
29821194  03:54:00                    572.000         41.500          4.767          4.250          0.517          3.000
29821195  03:55:00                    615.000         41.000          5.000          4.250          0.750          3.000
29821196  03:56:00                    655.000         41.500          4.917          4.250          0.667          3.000
29821197  03:57:00                    687.000         36.000          4.817          4.250          0.567          3.000
29821198  03:58:00                    710.000         27.500          4.583          4.200          0.383          3.000
29821199  03:59:00                    735.000         24.000          4.517          4.250          0.267          3.000
29821200  04:00:00                    692.000         -9.000          3.533          4.250         -0.717          3.000
29821201  04:01:00                    654.000        -40.500          3.633          4.200         -0.567          3.000
29821202  04:02:00                    611.000        -40.500          3.450          4.250         -0.800          3.000
29821203  04:03:00                    552.000        -51.000          3.233          4.250         -1.017          3.000
29821204  04:04:00                    505.000        -53.000          3.450          4.250         -0.800          3.000
