# Lecture du graphe construit par run.py — runs/20260912-231058
# plage 2026-09-12 21:01 -> 21:08, fenêtres de 60 s
# fenêtres gardées : 7

queue: food_delivery    run: runs/20260912-231058
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29820781  21:01:00                      0.000              -          3.550          3.567         -0.017          3.000
29820782  21:02:00                      4.000          4.000          3.417          3.383          0.033          3.000
29820783  21:03:00                      0.000          0.000          3.350          3.367         -0.017          3.000
29820784  21:04:00                      1.000         -1.500          3.383          3.400         -0.017          3.000
29820785  21:05:00                      0.000          0.000          3.700          3.700          0.000          3.000
29820786  21:06:00                      1.000          0.000          3.533          3.500          0.033          3.000
29820787  21:07:00                      0.000          0.000          3.417          3.433         -0.017          3.000

instances containing 'delivery'    run: runs/20260912-231058
window  start_utc            instance                                  process_time_p50  process_time_p95       error_ratio          cpu_rate       memory_used
29820781  21:01:00             ts-delivery-service-79c46f4f45-bmgvs               705.938           846.674                 -             0.003         427515904
29820781  21:01:00             ts-delivery-service-79c46f4f45-r5pwb               706.348           846.404                 -             0.003         419012608
29820781  21:01:00             ts-delivery-service-79c46f4f45-tvmfl               705.798           707.653                 -             0.004         426598400
29820781  21:01:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448
29820782  21:02:00             ts-delivery-service-79c46f4f45-bmgvs               705.827           846.327                 -             0.002         427606016
29820782  21:02:00             ts-delivery-service-79c46f4f45-r5pwb               710.752           851.125                 -             0.003         419020800
29820782  21:02:00             ts-delivery-service-79c46f4f45-tvmfl               705.809           845.919                 -             0.002         426594304
29820782  21:02:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448
29820783  21:03:00             ts-delivery-service-79c46f4f45-bmgvs               705.939           846.175                 -             0.004         426901504
29820783  21:03:00             ts-delivery-service-79c46f4f45-r5pwb               709.601           849.796                 -             0.003         419172352
29820783  21:03:00             ts-delivery-service-79c46f4f45-tvmfl               705.494           846.194                 -             0.003         426749952
29820783  21:03:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448
29820784  21:04:00             ts-delivery-service-79c46f4f45-bmgvs               705.653           846.353                 -             0.003         426934272
29820784  21:04:00             ts-delivery-service-79c46f4f45-r5pwb               709.410           850.101                 -             0.002         419147776
29820784  21:04:00             ts-delivery-service-79c46f4f45-tvmfl               705.741           846.454                 -             0.003         426467328
29820784  21:04:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448
29820785  21:05:00             ts-delivery-service-79c46f4f45-bmgvs               705.640           706.927                 -             0.003         427020288
29820785  21:05:00             ts-delivery-service-79c46f4f45-r5pwb               709.044           850.124                 -             0.003         419225600
29820785  21:05:00             ts-delivery-service-79c46f4f45-tvmfl               705.468           845.748                 -             0.003         426504192
29820785  21:05:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448
29820786  21:06:00             ts-delivery-service-79c46f4f45-bmgvs               705.624           845.743                 -             0.002         426901504
29820786  21:06:00             ts-delivery-service-79c46f4f45-r5pwb               708.215           849.718                 -             0.003         419045376
29820786  21:06:00             ts-delivery-service-79c46f4f45-tvmfl               705.632           845.416                 -             0.002         426602496
29820786  21:06:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421769216
29820787  21:07:00             ts-delivery-service-79c46f4f45-bmgvs               705.734           846.939                 -             0.006         427040768
29820787  21:07:00             ts-delivery-service-79c46f4f45-r5pwb               705.912           845.767                 -             0.003         419041280
29820787  21:07:00             ts-delivery-service-79c46f4f45-tvmfl               705.735           846.396                 -             0.003         426483712
29820787  21:07:00             ts-food-delivery-service-7cdc54dd4d-4jwk                 -                 -                 -             0.001         421736448

hosts    run: runs/20260912-231058
window  start_utc            host                 cpu_busy     cpu_pressure  memory_pressure      io_pressure
29820781  21:01:00             master                  0.046            0.011            0.000            0.001
29820781  21:01:00             workers0                0.239            0.078            0.000            0.000
29820781  21:01:00             workers1                0.034            0.010            0.000            0.000
29820781  21:01:00             workers2                0.042            0.009            0.000            0.000
29820781  21:01:00             workers3                0.059            0.024            0.000            0.000
29820781  21:01:00             workers4                0.050            0.016            0.000            0.001
29820781  21:01:00             workers5                0.042            0.022            0.000            0.000
29820781  21:01:00             workers6                0.053            0.010            0.000            0.000
29820782  21:02:00             master                  0.035            0.009            0.000            0.001
29820782  21:02:00             workers0                0.836            0.616            0.000            0.000
29820782  21:02:00             workers1                0.035            0.009            0.000            0.000
29820782  21:02:00             workers2                0.039            0.009            0.000            0.000
29820782  21:02:00             workers3                0.063            0.019            0.000            0.001
29820782  21:02:00             workers4                0.051            0.016            0.000            0.001
29820782  21:02:00             workers5                0.041            0.015            0.000            0.000
29820782  21:02:00             workers6                0.048            0.010            0.000            0.000
29820783  21:03:00             master                  0.041            0.010            0.000            0.001
29820783  21:03:00             workers0                0.815            0.615            0.000            0.000
29820783  21:03:00             workers1                0.038            0.011            0.000            0.000
29820783  21:03:00             workers2                0.040            0.009            0.000            0.000
29820783  21:03:00             workers3                0.065            0.023            0.000            0.001
29820783  21:03:00             workers4                0.048            0.016            0.000            0.001
29820783  21:03:00             workers5                0.041            0.020            0.000            0.000
29820783  21:03:00             workers6                0.055            0.011            0.000            0.000
29820784  21:04:00             master                  0.038            0.010            0.000            0.001
29820784  21:04:00             workers0                0.811            0.641            0.000            0.000
29820784  21:04:00             workers1                0.034            0.010            0.000            0.000
29820784  21:04:00             workers2                0.038            0.009            0.000            0.000
29820784  21:04:00             workers3                0.059            0.017            0.000            0.001
29820784  21:04:00             workers4                0.049            0.015            0.000            0.001
29820784  21:04:00             workers5                0.039            0.016            0.000            0.000
29820784  21:04:00             workers6                0.051            0.010            0.000            0.000
29820785  21:05:00             master                  0.036            0.009            0.000            0.001
29820785  21:05:00             workers0                0.838            0.629            0.000            0.000
29820785  21:05:00             workers1                0.036            0.011            0.000            0.000
29820785  21:05:00             workers2                0.039            0.009            0.000            0.000
29820785  21:05:00             workers3                0.061            0.023            0.000            0.001
29820785  21:05:00             workers4                0.048            0.015            0.000            0.001
29820785  21:05:00             workers5                0.041            0.020            0.000            0.000
29820785  21:05:00             workers6                0.049            0.009            0.000            0.000
29820786  21:06:00             master                  0.038            0.010            0.000            0.001
29820786  21:06:00             workers0                0.612            0.468            0.000            0.000
29820786  21:06:00             workers1                0.036            0.011            0.000            0.000
29820786  21:06:00             workers2                0.037            0.009            0.000            0.000
29820786  21:06:00             workers3                0.056            0.018            0.000            0.001
29820786  21:06:00             workers4                0.048            0.014            0.000            0.001
29820786  21:06:00             workers5                0.039            0.014            0.000            0.000
29820786  21:06:00             workers6                0.051            0.010            0.000            0.000
29820787  21:07:00             master                  0.041            0.010            0.000            0.001
29820787  21:07:00             workers0                0.046            0.010            0.000            0.000
29820787  21:07:00             workers1                0.036            0.011            0.000            0.000
29820787  21:07:00             workers2                0.040            0.012            0.000            0.000
29820787  21:07:00             workers3                0.062            0.023            0.000            0.001
29820787  21:07:00             workers4                0.051            0.015            0.000            0.001
29820787  21:07:00             workers5                0.040            0.020            0.000            0.000
29820787  21:07:00             workers6                0.050            0.010            0.000            0.000
