# Lecture du graphe construit par run.py — runs/20260926-034850
# plage 2026-09-25 13:29 -> 15:39, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-034850
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839049  13:29:00                      1.000              -          3.717          3.700          0.017          3.000
29839050  13:30:00                      5.000          4.000          3.267          3.300         -0.033          3.000
29839051  13:31:00                      6.000          2.500          3.533          3.483          0.050          3.000
29839052  13:32:00                      0.000         -2.500          3.233          3.267         -0.033          3.000
29839053  13:33:00                      0.000         -3.000          3.367          3.350          0.017          3.000
29839054  13:34:00                      1.000          0.500          3.567          3.550          0.017          3.000
29839055  13:35:00                      1.000          0.500          3.667          3.683         -0.017          3.000
29839056  13:36:00                      0.000         -0.500          3.283          3.283          0.000          3.000
29839057  13:37:00                      0.000         -0.500          3.383          3.400         -0.017          3.000
29839058  13:38:00                      3.000          1.500          3.600          3.583          0.017          3.000
29839059  13:39:00                      0.000          0.000          3.433          3.450         -0.017          3.000
29839060  13:40:00                      1.000         -1.000          3.683          3.717         -0.033          3.000
29839061  13:41:00                      0.000          0.000          3.367          3.350          0.017          3.000
29839062  13:42:00                      4.000          1.500          3.467          3.450          0.017          3.000
29839063  13:43:00                      2.000          1.000          3.467          3.467          0.000          3.000
29839064  13:44:00                      0.000         -2.000          3.450          3.450          0.000          3.000
29839065  13:45:00                      1.000         -0.500          3.267          3.233          0.033          3.000
29839066  13:46:00                      5.000          2.500          3.350          3.367         -0.017          3.000
29839067  13:47:00                      1.000          0.000          3.583          3.550          0.033          3.000
29839068  13:48:00                      0.000         -2.500          3.517          3.567         -0.050          3.000
29839069  13:49:00                      1.000          0.000          3.683          3.667          0.017          3.000
29839070  13:50:00                      2.000          1.000          3.400          3.433         -0.033          3.000
29839071  13:51:00                      1.000          0.000          3.367          3.333          0.033          3.000
29839072  13:52:00                      0.000         -1.000          3.533          3.517          0.017          3.000
29839073  13:53:00                      1.000          0.000          3.567          3.583         -0.017          3.000
29839074  13:54:00                      0.000          0.000          3.383          3.400         -0.017          3.000
29839075  13:55:00                      3.000          1.000          3.633          3.600          0.033          3.000
29839076  13:56:00                      0.000          0.000          3.350          3.400         -0.050          3.000
29839077  13:57:00                      1.000         -1.000          3.433          3.400          0.033          3.000
29839078  13:58:00                      6.000          3.000          3.567          3.583         -0.017          3.000
29839079  13:59:00                      5.000          2.000          3.350          3.317          0.033          3.000
29839080  14:00:00                      0.000         -3.000          3.417          3.450         -0.033          3.000
29839081  14:01:00                      2.000         -1.500          3.417          3.417          0.000          3.000
29839082  14:02:00                      0.000          0.000          3.467          3.417          0.050          3.000
29839083  14:03:00                      1.000         -0.500          3.217          3.250         -0.033          3.000
