# Lecture du graphe construit par run.py — runs/20260926-040544
# plage 2026-09-25 18:01 -> 20:11, fenêtres de 60 s
# fenêtres gardées : 130

queue: food_delivery    run: runs/20260926-040544
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29839321  18:01:00                      1.000              -          3.317          3.317          0.000          3.000
29839322  18:02:00                      0.000         -1.000          3.667          3.667          0.000          3.000
29839323  18:03:00                     20.000          9.500          3.517          3.133          0.383          3.000
29839324  18:04:00                     58.000         29.000          3.500          2.750          0.750          3.000
29839325  18:05:00                     99.000         39.500          3.383          2.800          0.583          3.000
29839326  18:06:00                    154.000         48.000          3.650          2.750          0.900          3.000
29839327  18:07:00                    182.000         41.500          3.200          2.783          0.417          3.000
29839328  18:08:00                    228.000         37.000          3.600          2.767          0.833          3.000
29839329  18:09:00                    281.000         49.500          3.600          2.783          0.817          3.000
29839330  18:10:00                    322.000         47.000          3.550          2.767          0.783          3.000
29839331  18:11:00                    357.000         38.000          3.367          2.783          0.583          3.000
29839332  18:12:00                    402.000         40.000          3.433          2.767          0.667          3.000
29839333  18:13:00                    440.000         41.500          3.350          2.767          0.583          3.000
29839334  18:14:00                    490.000         44.000          3.683          2.767          0.917          3.000
29839335  18:15:00                    520.000         40.000          3.217          2.750          0.467          3.000
29839336  18:16:00                    562.000         36.000          3.550          2.800          0.750          3.000
29839337  18:17:00                    592.000         36.000          3.267          2.750          0.517          3.000
29839338  18:18:00                    644.000         41.000          3.633          2.783          0.850          3.000
29839339  18:19:00                    696.000         52.000          3.633          2.767          0.867          3.000
29839340  18:20:00                    725.000         40.500          3.217          2.783          0.433          3.000
29839341  18:21:00                    773.000         38.500          3.650          2.767          0.883          3.000
29839342  18:22:00                    813.000         44.000          3.500          2.783          0.717          3.000
29839343  18:23:00                    839.000         33.000          3.667          3.517          0.150          3.000
29839344  18:24:00                    789.000        -12.000          3.433          4.200         -0.767          3.000
29839345  18:25:00                    746.000        -46.500          3.517          4.250         -0.733          3.000
29839346  18:26:00                    706.000        -41.500          3.600          4.250         -0.650          3.000
29839347  18:27:00                    668.000        -39.000          3.500          4.217         -0.717          3.000
29839348  18:28:00                    620.000        -43.000          3.500          4.250         -0.750          3.000
29839349  18:29:00                    570.000        -49.000          3.450          4.250         -0.800          3.000
29839350  18:30:00                    531.000        -44.500          3.600          4.233         -0.633          3.000
29839351  18:31:00                    491.000        -39.500          3.483          4.250         -0.767          3.000
29839352  18:32:00                    455.000        -38.000          3.667          4.233         -0.567          3.000
29839353  18:33:00                    403.000        -44.000          3.350          4.217         -0.867          3.000
29839354  18:34:00                    342.000        -56.500          3.267          4.250         -0.983          3.000
29839355  18:35:00                    290.000        -56.500          3.367          4.250         -0.883          3.000
29839356  18:36:00                    258.000        -42.000          3.750          4.250         -0.500          3.000
29839357  18:37:00                    213.000        -38.500          3.350          4.250         -0.900          3.000
29839358  18:38:00                    165.000        -46.500          3.600          4.250         -0.650          3.000
29839359  18:39:00                    112.000        -50.500          3.300          4.250         -0.950          3.000
29839360  18:40:00                     61.000        -52.000          3.417          4.200         -0.783          3.000
29839361  18:41:00                      4.000        -54.000          3.233          4.183         -0.950          3.000
29839362  18:42:00                      0.000        -30.500          3.033          3.033          0.000          3.000
29839363  18:43:00                      3.000         -0.500          3.433          3.433          0.000          3.000
29839364  18:44:00                      0.000          0.000          3.550          3.550          0.000          3.000
29839365  18:45:00                      1.000         -1.000          3.433          3.433          0.000          3.000
29839366  18:46:00                      0.000          0.000          3.517          3.517          0.000          3.000
29839367  18:47:00                      1.000          0.000          3.417          3.417          0.000          3.000
29839368  18:48:00                     17.000          8.500          3.383          3.067          0.317          3.000
29839369  18:49:00                     49.000         24.000          3.333          2.783          0.550          3.000
