# Lecture du graphe construit par run.py — runs/20260925-113438
# plage 2026-09-24 17:37 -> 19:32, fenêtres de 60 s
# fenêtres gardées : 115

queue: food_delivery    run: runs/20260925-113438
window  start_utc                   backlog  backlog_slope   publish_rate   consume_rate rate_imbalance      consumers
29837857  17:37:00                      0.000              -          1.400          1.400          0.000          3.000
29837858  17:38:00                      0.000          0.000          1.517          1.517          0.000          3.000
29837859  17:39:00                      0.000          0.000          1.417          1.417          0.000          3.000
29837860  17:40:00                      1.000          0.500          1.483          1.483          0.000          3.000
29837861  17:41:00                      0.000          0.000          1.483          1.483          0.000          3.000
29837862  17:42:00                      0.000         -0.500          1.333          1.333          0.000          3.000
29837863  17:43:00                      0.000          0.000          1.433          1.433          0.000          3.000
29837864  17:44:00                      0.000          0.000          1.467          1.467          0.000          3.000
29837865  17:45:00                      0.000          0.000          1.450          1.450          0.000          3.000
29837866  17:46:00                      0.000          0.000          1.450          1.450          0.000          3.000
29837867  17:47:00                      0.000          0.000          1.350          1.350          0.000          3.000
29837868  17:48:00                      0.000          0.000          1.400          1.400          0.000          3.000
29837869  17:49:00                      0.000          0.000          1.333          1.333          0.000          3.000
29837870  17:50:00                      0.000          0.000          1.617          1.617          0.000          3.000
29837871  17:51:00                      0.000          0.000          1.467          1.467          0.000          3.000
29837872  17:52:00                      0.000          0.000          1.350          1.350          0.000          3.000
29837873  17:53:00                      0.000          0.000          1.567          1.567          0.000          3.000
29837874  17:54:00                      0.000          0.000          1.433          1.433          0.000          3.000
29837875  17:55:00                      0.000          0.000          1.267          1.267          0.000          3.000
29837876  17:56:00                      0.000          0.000          1.500          1.500          0.000          3.000
29837877  17:57:00                      0.000          0.000          1.533          1.533          0.000          3.000
29837878  17:58:00                      0.000          0.000          1.550          1.550          0.000          3.000
29837879  17:59:00                      0.000          0.000          1.433          1.433          0.000          3.000
29837880  18:00:00                      0.000          0.000          1.400          1.400          0.000          3.000
29837881  18:01:00                      0.000          0.000          1.500          1.500          0.000          3.000
29837882  18:02:00                      0.000          0.000          1.367          1.367          0.000          3.000
29837883  18:03:00                      0.000          0.000          1.417          1.417          0.000          3.000
29837884  18:04:00                      0.000          0.000          1.833          1.833          0.000          3.000
29837885  18:05:00                      0.000          0.000          3.367          3.367          0.000          3.000
29837886  18:06:00                      1.000          0.500          3.500          3.500          0.000          3.000
